%% LaTeX2e file `perf.data'
%% generated by the `filecontents' environment
%% from source `rapport' on 2018/10/22.
%%
W P
261.504000 5070
264.270000 6201
267.461000 7305
270.507000 7666
273.111000 7334
275.720000 6974
278.484000 6765
281.119000 6366
283.745000 5974
283.835000 6699
283.925000 6967
284.012000 6926
284.108000 6681
284.202000 6312
284.291000 5873
284.381000 5398
284.472000 4917
287.103000 5953
289.740000 6538
292.381000 6792
295.028000 6842
297.665000 6726
300.277000 6495
303.171000 6540
306.036000 6416
306.128000 7011
306.218000 7181
306.310000 7066
306.400000 6774
306.488000 6370
306.584000 5901
306.678000 5411
306.765000 4923
309.406000 5978
312.029000 6545
314.678000 6822
317.325000 6864
319.935000 6718
322.567000 6518
325.201000 6263
327.808000 5952
327.900000 6595
327.990000 6808
328.092000 6728
328.184000 6473
328.277000 6106
328.369000 5672
328.460000 5210
328.553000 4745
331.181000 5849
333.830000 6485
336.510000 6819
339.136000 6847
341.749000 6714
344.356000 6496
346.978000 6241
349.618000 5983
349.709000 6611
349.800000 6816
349.892000 6739
349.984000 6477
350.077000 6102
350.168000 5665
350.262000 5203
350.353000 4738
353.789000 6755
356.419000 7065
359.036000 7109
361.654000 6987
364.291000 6798
366.922000 6532
369.517000 6200
372.144000 5899
372.237000 6587
372.327000 6833
372.416000 6781
372.507000 6536
372.601000 6167
372.696000 5732
372.786000 5268
372.878000 4798
375.494000 5863
378.146000 6481
380.750000 6725
383.389000 6796
385.997000 6675
388.590000 6447
391.300000 6311
393.983000 6078
394.075000 6696
394.166000 6892
394.256000 6802
394.348000 6531
394.440000 6148
394.531000 5706
394.622000 5235
394.713000 4762
397.335000 5853
399.901000 6403
402.583000 6771
405.355000 6978
407.937000 6768
410.567000 6552
413.331000 6442
415.996000 6127
416.088000 6748
416.180000 6943
416.271000 6856
416.364000 6584
416.455000 6199
416.546000 5752
416.638000 5281
416.729000 4807
419.350000 5881
421.994000 6500
424.608000 6753
427.243000 6816
429.858000 6696
432.464000 6478
435.083000 6231
437.694000 5946
437.785000 6578
437.873000 6788
437.964000 6712
438.056000 6454
438.154000 6084
438.245000 5651
438.335000 5189
438.425000 4724
441.023000 5800
443.633000 6412
445.980000 6407
450.359000 8575
452.695000 7545
455.216000 6926
457.837000 6483
460.452000 6064
460.544000 6751
460.637000 6989
460.728000 6929
460.820000 6673
460.913000 6297
461.003000 5852
461.104000 5378
461.197000 4898
463.825000 5943
466.458000 6527
469.159000 6862
471.762000 6842
474.393000 6722
476.998000 6481
479.684000 6283
482.310000 5981
482.402000 6623
482.492000 6835
482.582000 6761
482.676000 6502
482.769000 6127
482.860000 5689
482.951000 5226
483.043000 4757
485.658000 5839
488.263000 6434
490.904000 6744
493.552000 6820
496.164000 6700
498.780000 6500
501.435000 6285
504.061000 5988
504.155000 6612
504.245000 6814
504.335000 6737
504.425000 6475
504.518000 6100
504.609000 5663
504.702000 5197
504.797000 4728
507.403000 5818
510.208000 6647
512.802000 6828
515.440000 6870
518.063000 6738
520.829000 6678
523.609000 6531
526.403000 6331
526.496000 6932
526.584000 7111
526.680000 7005
526.773000 6718
526.869000 6316
526.966000 5855
527.065000 5370
527.161000 4883
529.956000 6117
533.304000 7440
535.975000 7414
538.810000 7440
541.564000 7205
544.194000 6774
546.827000 6371
549.448000 5975
549.538000 6693
549.628000 6954
549.719000 6906
549.815000 6661
549.913000 6293
550.009000 5851
550.108000 5381
550.199000 4904
552.823000 5940
555.452000 6520
558.159000 6864
560.790000 6866
563.453000 6769
566.106000 6570
568.743000 6294
571.401000 6024
571.501000 6665
571.590000 6880
571.688000 6805
571.780000 6545
571.872000 6169
571.963000 5727
572.052000 5260
572.149000 4790
575.015000 6142
577.653000 6669
580.257000 6850
582.907000 6883
585.578000 6791
588.193000 6530
591.230000 6721
593.840000 6246
593.935000 6871
594.033000 7066
594.126000 6972
594.224000 6693
594.317000 6302
594.405000 5849
594.495000 5368
594.592000 4881
597.250000 5966
599.853000 6506
602.520000 6805
605.203000 6891
608.202000 7173
611.047000 7048
613.663000 6578
616.295000 6158
616.391000 6810
616.480000 7025
616.571000 6946
616.662000 6679
616.754000 6292
616.846000 5843
616.936000 5366
617.027000 4886
619.685000 5957
622.317000 6537
624.958000 6801
627.594000 6837
630.203000 6695
632.812000 6472
635.464000 6256
638.102000 5981
638.204000 6609
638.294000 6822
638.385000 6748
638.476000 6489
638.569000 6118
638.664000 5680
638.754000 5217
638.845000 4748
641.431000 5802
645.588000 8169
648.157000 7790
650.779000 7444
653.473000 7141
656.212000 6847
658.908000 6481
661.565000 6074
661.660000 6797
661.751000 7059
661.844000 7012
661.938000 6761
662.032000 6387
662.125000 5939
662.216000 5459
662.312000 4970
664.937000 5981
667.577000 6557
670.073000 6645
673.955000 8131
676.548000 7516
679.295000 7134
683.276000 8127
687.329000 8729
687.456000 9127
687.593000 9094
687.730000 8785
687.868000 8311
688.149000 7614
688.290000 7050
688.427000 6464
688.562000 5879
692.742000 8277
698.858000 11894
703.591000 12527
709.914000 14487
715.339000 14504
719.965000 13328
724.297000 11956
729.299000 11568
729.393000 12646
729.485000 12960
729.576000 12762
729.669000 12230
729.762000 11499
729.853000 10660
729.944000 9774
730.036000 8889
732.729000 8530
735.420000 8109
738.096000 7643
740.790000 7204
743.458000 6743
746.081000 6260
748.723000 5853
751.370000 5486
751.461000 6479
751.550000 6929
751.640000 7008
751.732000 6840
751.824000 6514
751.914000 6099
752.005000 5637
752.094000 5158
754.788000 6147
757.425000 6642
760.046000 6822
762.673000 6813
765.279000 6650
767.886000 6416
770.609000 6274
773.231000 5953
773.323000 6625
773.412000 6859
773.508000 6799
773.599000 6546
773.691000 6177
773.781000 5742
773.874000 5274
773.964000 4803
776.596000 5886
779.262000 6532
781.886000 6782
784.490000 6796
787.137000 6716
789.771000 6521
792.418000 6284
795.035000 5978
795.126000 6613
795.216000 6826
795.305000 6752
795.396000 6489
795.487000 6114
795.577000 5677
795.668000 5211
795.759000 4746
798.440000 5904
801.075000 6506
803.707000 6778
806.396000 6886
808.997000 6727
811.781000 6685
814.306000 6259
816.980000 6029
817.093000 6642
817.186000 6854
817.275000 6779
817.366000 6519
817.458000 6143
817.548000 5705
817.639000 5238
817.729000 4768
820.334000 5837
822.948000 6446
